Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/06  01:00:00,0.966508896,4.738943121,0,4.710975742,0,0.121167526,0.121167526,0.121167526,0.154019476,0.033179897,0.086369242,0.406034923,0.149093832
 01/06  02:00:00,0.798492405,5.233794163,0,5.208043575,0,0.133607028,0.133607028,0.133607028,0.089844728,0.019354937,0.072238755,0.37385121,0.092951746
 01/06  03:00:00,0.746473084,5.688556923,0,5.663104892,0,0.14493352,0.14493352,0.14493352,0.064174796,0.013824955,0.059715255,0.369516703,0.077663854
 01/06  04:00:00,0.749004681,6.110282021,0,6.085188259,0,0.155370081,0.155370081,0.155370081,0.064174796,0.013824955,0.052611026,0.364315295,0.082064527
 01/06  05:00:00,0.800674876,6.518323858,0,6.494178016,0,0.165458155,0.165458155,0.165458155,0.064174796,0.013824955,0.063151709,0.350553236,0.126868025
 01/06  06:00:00,1.053284276,6.659553429,0,6.63260861,0,0.168429514,0.168429514,0.168429514,0.064174796,0.013824955,0.075981488,0.391189237,0.323040285
 01/06  07:00:00,1.653860748,7.386584362,0,7.355452273,0,0.186825071,0.186825071,0.186825071,0.147602041,0.031797395,0.129758031,0.451980695,0.689253516
 01/06  08:00:00,2.060496933,7.290148974,0,7.257068798,0,0.184470435,0.184470435,0.184470435,0.301621517,0.064977292,0.207405929,0.480263352,0.790114408
 01/06  09:00:00,1.969338175,6.523320301,0,6.495352923,0,0.163309401,0.163309401,0.163309401,0.288786568,0.062212303,0.268690649,0.406034923,0.763660331
 01/06  10:00:00,1.710908134,6.212213037,0,6.188410537,0,0.15617687,0.15617687,0.15617687,0.147602041,0.031797395,0.330033496,0.345568553,0.68308578
 01/06  11:00:00,1.627513679,6.936825618,0,6.912463322,0,0.17641662,0.17641662,0.17641662,0.121932142,0.026267417,0.34487662,0.353695754,0.587681127
 01/06  12:00:00,1.522208915,5.533765813,0,5.509396053,0,0.139979109,0.139979109,0.139979109,0.121932142,0.026267417,0.361119726,0.353804116,0.502462405
 01/06  13:00:00,1.425233338,4.901703829,0,4.877744585,0,0.124703826,0.124703826,0.124703826,0.121932142,0.026267417,0.351845974,0.347844169,0.435995809
 01/06  14:00:00,1.35042789,4.356827321,0,4.332039581,0,0.111315166,0.111315166,0.111315166,0.121932142,0.026267417,0.317847783,0.359872426,0.396548956
 01/06  15:00:00,1.304058134,3.951206039,0,3.925022542,0,0.10128642,0.10128642,0.10128642,0.128349577,0.027649903,0.292642171,0.380136245,0.357349819
 01/06  16:00:00,1.368683229,3.524770487,0,3.497131522,0,0.090528841,0.090528841,0.090528841,0.160436991,0.034562383,0.302863616,0.401266965,0.362380433
 01/06  17:00:00,1.662603647,3.129331864,0,3.096639812,0,0.080311791,0.080311791,0.080311791,0.269534103,0.058064812,0.353720743,0.474628493,0.409699704
 01/06  18:00:00,2.249329275,3.560375963,0,3.520660345,0,0.091713598,0.091713598,0.091713598,0.500563357,0.107834641,0.445069937,0.576597765,0.510905977
 01/06  19:00:00,2.664955093,3.292362023,0,3.249242849,0,0.084930491,0.084930491,0.084930491,0.744427561,0.160369476,0.398283704,0.626011142,0.604288719
 01/06  20:00:00,2.617115513,2.362868103,0,2.318360636,0,0.060106986,0.060106986,0.060106986,0.789349925,0.170046944,0.315345897,0.646166599,0.619455163
 01/06  21:00:00,2.408329951,2.233390234,0,2.18735266,0,0.056583902,0.056583902,0.056583902,0.680252812,0.146544516,0.275874928,0.668380946,0.564048847
 01/06  22:00:00,2.176935541,2.29807698,0,2.253114213,0,0.058397362,0.058397362,0.058397362,0.5711557,0.123042104,0.258342283,0.652776722,0.496577371
 01/06  23:00:00,1.762706944,2.493785326,0,2.454875813,0,0.06376091,0.06376091,0.06376091,0.429971094,0.092627195,0.205880856,0.564894597,0.388928293
 01/06  24:00:00,1.346055792,2.773643487,0,2.739831845,0,0.071253115,0.071253115,0.071253115,0.295204003,0.063594789,0.135920782,0.490882893,0.27255621
 01/07  01:00:00,0.941022977,3.028466386,0,3.000499008,0,0.078074888,0.078074888,0.078074888,0.154019476,0.033179897,0.092942925,0.406034923,0.160126868
